block,p_depth_frac,t_f_mm,s_mm,t_f_over_s,d_K_asbuilt,d_K_thin_face,d_K_first_order,dK_asbuilt_over_thin,dK_asbuilt_over_first_order,d_M,zeta_asbuilt,zeta_thin_face,d_K_monolithic,d_M_monolithic,zeta_monolithic,d_K_sandwich,d_M_sandwich,zeta_sandwich,d_M_asbuilt,dK_ratio_mono_over_sw,dK_ratio_mono_over_asbuilt,d_K,dM_ratio_sw_over_mono,dM_ratio_asbuilt_over_mono,dM_ratio_asbuilt_over_sw,law,m,n,xi_star,r_star_mm,xi_d,s_bar,sigma_rel,cond2,det_F,crlb_xi_mm,crlb_s_pp,crlb_xi_ratio_sw_over_mono,crlb_s_ratio_sw_over_mono,cond2_ratio_sw_over_mono,crlb_xi_ratio_asbuilt_over_mono,crlb_s_ratio_asbuilt_over_mono,cond2_ratio_asbuilt_over_mono,abs_err_over_floor_max,abs_err_over_floor_m0,worst_mode,d_K_local_target,depth_mm_monolithic,depth_mm_sandwich,depth_mm_asbuilt,depth_ratio_sw_over_mono,depth_ratio_asbuilt_over_mono
asbuilt_section,0.02,1.0,5.1000000000000005,0.19607843137254902,0.01417433809178692,0.010101010101010102,0.013982966924143395,1.4032594710869049,1.013686020190257,0.01,0.7055003157991787,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asbuilt_section,0.05,1.0,5.1000000000000005,0.19607843137254902,0.035627475934163155,0.025641025641025644,0.03519356460532932,1.389471561432363,1.01232928047215,0.025,0.7017056174902225,0.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asbuilt_section,0.1,1.0,5.1000000000000005,0.19607843137254902,0.07193104550570373,0.052631578947368425,0.07120743034055728,1.3666898646083707,1.0101620738409698,0.05,0.6951101523477131,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asbuilt_section,0.2,1.0,5.1000000000000005,0.19607843137254902,0.1468724956767472,0.11111111111111112,0.1459694989106754,1.3218524610907247,1.0061862017257754,0.1,0.6808626730228018,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asbuilt_section,0.25,1.0,5.1000000000000005,0.19607843137254902,0.18568389490428583,0.14285714285714285,0.18487394957983194,1.2997872643300008,1.0043810678913643,0.125,0.6731870853120221,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asbuilt_section,0.3,1.0,5.1000000000000005,0.19607843137254902,0.2255208372099946,0.17647058823529413,0.22491349480968859,1.277951410856636,1.0027003377490529,0.15,0.6651270093518095,0.8499999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asbuilt_section,0.5,1.0,5.1000000000000005,0.19607843137254902,0.3976021763887132,0.3333333333333333,0.3986928104575163,1.1928065291661396,0.9972644752044775,0.25,0.6287691940488502,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
law_vs_depth,0.02,,,,0.01417433809178692,,,,,,0.7055003157991787,,0.05880800000000008,0.02,0.3400897837028971,0.010101010101010102,0.01,0.99,0.01,5.821992000000008,4.148906257151816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
law_vs_depth,0.05,,,,0.035627475934163155,,,,,,0.7017056174902225,,0.1426250000000001,0.05,0.3505696757230497,0.025641025641025644,0.025,0.975,0.025,5.562375000000004,4.0032305477817225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
law_vs_depth,0.1,,,,0.07193104550570373,,,,,,0.6951101523477131,,0.2709999999999999,0.1,0.36900369003690053,0.052631578947368425,0.05,0.95,0.05,5.148999999999998,3.7674970257246034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
