arm,convention,a_bar,width_mm,ratio_f1,ratio_f2,ratio_f3,shift_f1_pct,shift_f2_pct,shift_f3_pct,vane_width_mm
a_exact_spring_EB,dimarogonas,0.1,0.0,0.9970112106330246,0.9999721797487515,0.9991151367710089,0.2988789366975442,0.00278202512484782,0.08848632289910618,
a_exact_spring_EB,tada,0.1,0.0,0.9962973213246376,0.9999655447182251,0.9989039576746842,0.37026786753624474,0.0034455281774925517,0.10960423253157936,
b_timoshenko_modeI,dimarogonas,0.1,0.0,0.9970151038164249,0.9999737157276406,0.9991219244849657,0.2984896183575114,0.002628427235940034,0.08780755150342712,
b_timoshenko_modeI,tada,0.1,0.0,0.9963019513064717,0.9999673289421411,0.9989123025387577,0.36980486935282997,0.003267105785886848,0.10876974612422652,
b_timoshenko_modeI+II,dimarogonas,0.1,0.0,0.997014826941445,0.9999701813470091,0.9991177108911713,0.29851730585549463,0.0029818652990898364,0.08822891088287044,
b_timoshenko_modeI+II,tada,0.1,0.0,0.9963018205461613,0.9999630645111895,0.9989071391063656,0.3698179453838657,0.0036935488810452277,0.1092860893634362,
b_timoshenko_modeI+II_c0.9,dimarogonas,0.1,0.0,0.9969558435058521,0.9999528017349991,0.9992272555389478,0.30441564941479093,0.004719826500088065,0.07727444610522438,
b_timoshenko_modeI+II_c0.9,tada,0.1,0.0,0.9962287917092522,0.9999415466369979,0.9990428345221855,0.37712082907478406,0.005845336300214221,0.09571654778145477,
d_2d_strain_slit,fem,0.1,0.0,0.9964651560477488,0.9999672805387957,0.99896745310004,0.3534843952251232,0.003271946120431135,0.10325468999600185,
d_2d_stress_slit,fem,0.1,0.0,0.9964781517091464,0.9999680881115182,0.998964942620164,0.35218482908535576,0.0031911888481839235,0.10350573798360019,
a_exact_spring_EB,dimarogonas,0.25,0.0,0.982561878367158,0.9998386387875924,0.9948547428996892,1.7438121632841974,0.016136121240761803,0.5145257100310774,
a_exact_spring_EB,tada,0.25,0.0,0.9782952352074664,0.9997995107774268,0.9936026364962779,2.170476479253358,0.0200489222573208,0.6397363503722109,
b_timoshenko_modeI,dimarogonas,0.25,0.0,0.9825846815812967,0.9998478042513146,0.9948943029830497,1.7415318418703252,0.015219574868541308,0.5105697016950295,
b_timoshenko_modeI,tada,0.25,0.0,0.9783234414809864,0.9998108964830148,0.9936518049935867,2.1676558519013622,0.018910351698520067,0.634819500641326,
b_timoshenko_modeI+II,dimarogonas,0.25,0.0,0.9825825298323572,0.9998253812760363,0.9948676868020577,1.7417470167642835,0.017461872396373757,0.5132313197942273,
b_timoshenko_modeI+II,tada,0.25,0.0,0.9783207801148415,0.9997828245891213,0.9936184583397961,2.167921988515853,0.021717541087873382,0.6381541660203882,
b_timoshenko_modeI+II_c0.9,dimarogonas,0.25,0.0,0.982236992450219,0.9997226313459958,0.995522026199513,1.7763007549780996,0.02773686540041842,0.44779738004869785,
b_timoshenko_modeI+II_c0.9,tada,0.25,0.0,0.9778935320071934,0.9996554189054877,0.9944322525452206,2.2106467992806578,0.034458109451229735,0.5567747454779393,
c_3d_notch_w2.0,fem,0.25,0.25,0.969282497523265,1.0000130098584092,0.9928492816866058,3.0717502476734992,0.0013009858409240849,0.71507183133942,2.0
c_3d_notch_w2.0,fem,0.25,1.0,0.9385579654746437,1.0004032681678143,0.9894063858690374,6.144203452535635,0.04032681678143302,1.0593614130962603,2.0
c_3d_notch_w4.1,fem,0.25,0.25,0.969438813149394,0.9999221843425798,0.9875703428597906,3.056118685060605,0.007781565742015495,1.2429657140209383,4.1000000000000005
c_3d_notch_w4.1,fem,0.25,1.0,0.939114798197718,1.0001985621461018,0.968433468672625,6.088520180228196,0.019856214610181055,3.156653132737497,4.1000000000000005
d_2d_strain_slit,fem,0.25,0.0,0.9781353809050242,0.9997921696894241,0.9936327562238894,2.1864619094975835,0.020783031057591828,0.6367243776110643,
d_2d_stress_slit,fem,0.25,0.0,0.9781807773477658,0.9997967866462755,0.9936070587461806,2.181922265223424,0.020321335372452953,0.6392941253819395,
a_exact_spring_EB,dimarogonas,0.3,0.0,0.9746817238768082,0.9997664814654441,0.9925444448033545,2.531827612319182,0.023351853455588767,0.7455555196645536,
a_exact_spring_EB,tada,0.3,0.0,0.9685600743810521,0.9997107552698887,0.9907566312722192,3.143992561894793,0.028924473011127105,0.9243368727780754,
b_timoshenko_modeI,dimarogonas,0.3,0.0,0.9747144532626946,0.9997797354688092,0.9926017233006676,2.528554673730543,0.02202645311908391,0.7398276699332351,
b_timoshenko_modeI,tada,0.3,0.0,0.9686003244896091,0.9997271774040933,0.9908276069776009,3.139967551039091,0.027282259590666325,0.9172393022399139,
b_timoshenko_modeI+II,dimarogonas,0.3,0.0,0.9747113670043865,0.9997472158371556,0.9925630655044213,2.528863299561346,0.0252784162844355,0.7436934495578695,
b_timoshenko_modeI+II,tada,0.3,0.0,0.9685965627012646,0.9996864433038827,0.9907791406354863,3.1403437298735404,0.031355669611732306,0.9220859364513667,
b_timoshenko_modeI+II_c0.9,dimarogonas,0.3,0.0,0.9742186705351528,0.9995999315959183,0.9935061456889426,2.5781329464847236,0.04000684040816882,0.6493854311057423,
b_timoshenko_modeI+II_c0.9,tada,0.3,0.0,0.9679905070788961,0.9995045511947366,0.9919487766782462,3.200949292110389,0.049544880526342094,0.8051223321753787,
d_2d_strain_slit,fem,0.3,0.0,0.9680749756394638,0.9996936382939101,0.9907108539796642,3.1925024360536236,0.0306361706089886,0.9289146020335814,
d_2d_stress_slit,fem,0.3,0.0,0.9681359640224569,0.9997002971643579,0.9906718131110223,3.186403597754306,0.029970283564206834,0.9328186888977741,
a_exact_spring_EB,dimarogonas,0.5,0.0,0.9178448626394512,0.999260284190285,0.976214857371856,8.21551373605488,0.07397158097149914,2.378514262814402,
a_exact_spring_EB,tada,0.5,0.0,0.8990371613227734,0.9990983795287514,0.9709621070788039,10.096283867722654,0.09016204712486431,2.9037892921196073,
b_timoshenko_modeI,dimarogonas,0.5,0.0,0.9179418923420661,0.9993021593134532,0.9763962464840714,8.205810765793387,0.0697840686546769,2.3603753515928583,
b_timoshenko_modeI,tada,0.5,0.0,0.8991527737845385,0.9991493595002469,0.9711828329023336,10.084722621546149,0.08506404997531414,2.881716709766635,
b_timoshenko_modeI+II,dimarogonas,0.5,0.0,0.9179343224613422,0.9992073158974784,0.9762825921841057,8.206567753865778,0.07926841025216458,2.3717407815894265,
b_timoshenko_modeI+II,tada,0.5,0.0,0.8991437397168824,0.9990294626345578,0.9710388641723083,10.085626028311756,0.097053736544217,2.8961135827691664,
b_timoshenko_modeI+II_c0.9,dimarogonas,0.5,0.0,0.9166044567900311,0.9987934992257855,0.9790266099522341,8.33955432099689,0.12065007742144696,2.0973390047765883,
b_timoshenko_modeI+II_c0.9,tada,0.5,0.0,0.8975591396447469,0.9985299733148132,0.9743898942842064,10.244086035525314,0.14700266851868093,2.5610105715793585,
