plane,a_bar,ref,n_elem,ndof,tip_elem_over_h,f1_healthy_Hz,f1_cracked_Hz,ratio_f1,ratio_f2,ratio_f3,shift_f1_pct,shift_f2_pct,shift_f3_pct,d_shift_f1_pct_rel,d_shift_f2_pct_rel,d_shift_f3_pct_rel
stress,0.3,1,320,2736,0.014612113218124114,882.0330133784566,855.0040921398662,0.9693561115869559,0.9997020503645745,0.9911109529325263,3.0643888413044107,0.029794963542550956,0.8889047067473732,,,
stress,0.3,2,1280,10592,0.007934030631955762,881.5046211394194,853.6791563573826,0.9684341248874339,0.999700870917481,0.9907784020168824,3.1565875112566144,0.02991290825189452,0.9221597983117613,0.03008713147283154,0.003958545180802955,0.03741131227223798
stress,0.3,3,2880,23568,0.005415076265570399,881.3403826738916,853.2573210119091,0.9681359640224569,0.9997002971643579,0.9906718131110223,3.186403597754306,0.029970283564206834,0.9328186888977741,0.009445670804742541,0.0019180787046568586,0.011558615551801838
stress,0.3,4,5120,41664,0.004106626041908503,881.2660529934775,853.0534194734261,0.967986247258454,0.9996998841002354,0.9906191441128411,3.2013752741546053,0.030011589976464137,0.9380855887158868,0.004698612696411415,0.0013782456268326521,0.0056462203006846816
stress,0.5,1,320,2736,0.024353522030206784,882.0320904345791,793.9331226817128,0.9001181831043588,0.9990109161028119,0.9711215142865678,9.988181689564124,0.09890838971881033,2.887848571343221,,,
stress,0.5,2,1280,10592,0.0132233843865929,881.5044310450119,791.5081169229026,0.8979059991616606,0.9990137728784614,0.97028499993543,10.209400083833941,0.09862271215386187,2.971500006456995,0.022148014638235014,0.0028883046803271444,0.028966697195921653
stress,0.5,3,2880,23568,0.00902512710928395,881.3402757203107,790.7441300078041,0.8972063932532037,0.9990142479972544,0.9700210979023872,10.279360674679626,0.09857520027456435,2.997890209761278,0.006852566289028508,0.00048175393131959503,0.008881104912312848
stress,0.5,4,5120,41664,0.0068443767365141545,881.2659286616351,790.3686396592444,0.8968560044747956,0.9990140978354306,0.9698915604260444,10.314399552520436,0.09859021645693966,3.010843957395559,0.0034086631406093737,0.000152332253279637,0.004320954647406067
stress,0.6,1,320,2736,0.019482817624165476,882.0323306763624,737.0792879048912,0.8356601705741127,0.9983919108397374,0.9526775205285544,16.43398294258873,0.16080891602625602,4.732247947144563,,,
stress,0.6,2,1280,10592,0.01057870750927433,881.5044701421637,733.5970241828505,0.8322102145035526,0.9983990908068546,0.9513886507963281,16.77897854964474,0.16009091931453723,4.861134920367194,0.02099281764263929,0.004464906110066452,0.027235887608214052
stress,0.6,3,2880,23568,0.007220101687427157,881.3402308484166,732.4965882108784,0.8311167045055292,0.9984006883516338,0.9509797567970234,16.88832954944708,0.15993116483662417,4.902024320297659,0.0065171428331466065,0.000997898435445787,0.008411492501297812
stress,0.6,4,5120,41664,0.005475501389211329,881.2659574116557,731.9522852431079,0.8305691137700436,0.9984008710297323,0.9507790824297495,16.94308862299564,0.15991289702677047,4.922091757025049,0.003242420950410262,0.00011422295255813102,0.00409370403249466
strain,0.3,1,320,2736,0.014612113218124114,922.8885365603165,894.4586015035032,0.9691946167597074,0.9996837581929807,0.9911943164687701,3.0805383240292583,0.03162418070192796,0.8805683531229902,,,
strain,0.3,2,1280,10592,0.007934030631955762,921.75377101411,892.5777335558596,0.9683472545752093,0.9996912515025327,0.9908295367584469,3.1652745424790685,0.030874849746731492,0.9170463241553128,0.02750695155740752,0.023694873307841525,0.04142548491886094
strain,0.3,3,2880,23568,0.005415076265570399,921.3938413518663,891.9783205210599,0.9680749756394638,0.9996936382939101,0.9907108539796642,3.1925024360536236,0.0306361706089886,0.9289146020335814,0.008602063804939341,0.0077305360091075226,0.012941852080591919
strain,0.3,4,5120,41664,0.004106626041908503,921.2297732846556,891.6932767275682,0.9679379700769172,0.9996945993374711,0.9906526717419696,3.2062029923082824,0.030540066252893183,0.9347328258030418,0.004291478715861096,0.003136957204018828,0.006263464646505857
strain,0.5,1,320,2736,0.024353522030206784,922.8871784321889,830.3229570728238,0.899701476494002,0.998954239755139,0.9714186507435603,10.0298523505998,0.1045760244861027,2.8581349256439736,,,
strain,0.5,2,1280,10592,0.0132233843865929,921.7534426668275,827.4396565470462,0.8976800283523633,0.9989841460384737,0.9704637328758489,10.231997164763673,0.10158539615262585,2.953626712415114,0.02015431604551829,0.02859764796159642,0.03341052443478494
strain,0.5,3,2880,23568,0.00902512710928395,921.3936126791485,826.533522654402,0.8970471590866355,0.998993788005812,0.9701569365289263,10.295284091336454,0.10062119941880443,2.9843063471073683,0.006185197821469747,0.009491489626843352,0.01038710632027308
strain,0.5,4,5120,41664,0.0068443767365141545,921.2295308669302,826.0937588933805,0.8967295676203286,0.9989978788669437,0.9700077472958815,10.327043237967137,0.10021211330563107,2.999225270411854,0.0030848246973008944,0.004065605613292969,0.0049991259506404736
strain,0.6,1,320,2736,0.019482817624165476,922.8875214075662,770.6443427707587,0.8350360416569402,0.9983019912039114,0.9531723495990844,16.49639583430598,0.16980087960886125,4.682765040091564,,,
strain,0.6,2,1280,10592,0.01057870750927433,921.7535119497687,766.7806697809061,0.8318717095625149,0.9983521600741886,0.9516862217286687,16.81282904374851,0.16478399258114118,4.831377827133132,0.019181960267010367,0.029545706943783476,0.03173611867544437
strain,0.6,3,2880,23568,0.007220101687427157,921.3936534568073,765.5661600286946,0.8308784819132493,0.9983683027294714,0.951206698048028,16.91215180867507,0.1631697270528587,4.879330195197196,0.005907558131240827,0.009796252069129818,0.009925195209276013
strain,0.6,4,5120,41664,0.005475501389211329,921.2295964450412,764.9707943005212,0.8303801758567989,0.998375210441881,0.9509736688466561,16.961982414320108,0.16247895581189553,4.902633115334387,0.0029464379346144237,0.004233452206115403,0.004775844061574052
