plane,a_bar,kerf_width_mm,n_elem,ndof,ratio_f1,ratio_f2,ratio_f3,shift_f2_pct,c_theta_2d,a_bar_equivalent,a_bar_equiv_over_physical,a_bar_equiv_dimarogonas,a_bar_equiv_dim_over_physical,a_eq_tada,a_eq_tada_over_physical
stress,0.25,0.0,2880,23568,0.9781807773477658,0.9997967866462755,0.9936070587461806,0.020321335372452953,0.020008613850003153,0.2508368080204167,1.0033472320816668,0.27937955223640715,1.1175182089456286,0.2508222310853117,1.0032889243412468
stress,0.25,0.1,2904,23768,0.97345612931163,0.9998862941826638,0.9928801675295825,0.01137058173361627,0.02451886755689291,0.27644457203491246,1.1057782881396498,0.3070443126409186,1.2281772505636743,0.2764367367369285,1.105746946947714
stress,0.25,0.25,2904,23768,0.9672017438897459,1.000020667390819,0.9920602084109245,0.0020667390818962517,0.030591092788343634,0.30635625991478305,1.2254250396591322,0.339106337977623,1.356425351910492,0.30635356456441193,1.2254142582576477
stress,0.25,0.5,2904,23768,0.9569064020992665,1.0002125523907006,0.9907926129267529,0.02125523907006155,0.04084649405842345,0.34835055846122037,1.3934022338448815,0.38367461872901887,1.5346984749160755,0.3483501363418279,1.3934005453673115
stress,0.25,1.0,2904,23768,0.9368822341917319,1.000432908822743,0.9885866959660625,0.043290882274305,0.06176738887448086,0.41295268287867737,1.6518107315147095,0.45111611936435264,1.8044644774574106,0.41296623435703816,1.6518649374281527
stress,0.5,0.0,2880,23568,0.8972063932532037,0.9990142479972544,0.9700210979023872,0.09857520027456435,0.10742393506345871,0.5036943753252364,1.0073887506504728,0.5428679190486867,1.0857358380973734,0.5036916203129336,1.0073832406258671
stress,0.5,0.1,2904,23768,0.8810150268223552,0.9990639027971794,0.966982482699203,0.09360972028206183,0.1278484185834236,0.532239920408883,1.064479840817766,0.5709816027355407,1.1419632054710813,0.5322276547967837,1.0644553095935674
stress,0.5,0.25,2904,23768,0.8583228196335684,0.9991255500674951,0.9631458799135415,0.08744499325048505,0.1584381790297528,0.5668427886929355,1.133685577385871,0.60467503879009,1.20935007758018,0.5668551902094779,1.1337103804189559
stress,0.5,0.5,2904,23768,0.8228439410412428,0.9990866944197038,0.9579119222805316,0.09133055802962309,0.21142376768549215,0.6118854881169299,1.2237709762338598,0.6481093727734983,1.2962187455469967,0.6118860139075679,1.2237720278151358
stress,0.5,1.0,2904,23768,0.7625954938187043,0.9982617344739545,0.951275526113958,0.17382655260455016,0.3188931165270504,0.6717071666633213,1.3434143333266426,0.7062324551664645,1.412464910332929,0.6717070147115188,1.3434140294230377
stress,0.625,0.0,2880,23568,0.8094585631063876,0.9982072428659828,0.9448142133754807,0.17927571340171644,0.23324434704599092,0.6266939181001724,1.0027102689602758,0.6623915414922761,1.0598264663876418,0.6266943410835351,1.002710945733656
stress,0.625,0.1,2904,23768,0.7800469729097345,0.9981352137725096,0.9391044920859148,0.18647862274904226,0.2851921979120936,0.6560294077722275,1.049647052435564,0.6908526221925642,1.1053641955081026,0.6560292405003905,1.0496467848006248
stress,0.625,0.25,2904,23768,0.7405942464567097,0.9979986725693731,0.9325139838892085,0.20013274306268647,0.3648187084321829,0.6899672688612996,1.1039476301780793,0.7243792686731523,1.1590068298770437,0.6899684195321006,1.1039494712513611
stress,0.625,0.5,2904,23768,0.6847602594818596,0.9974866933982566,0.9251945899340113,0.2513306601743426,0.5018648524883073,0.7303805157382819,1.168608825181251,0.7659077303715056,1.225452368594409,0.7303809871847707,1.1686095794956333
stress,0.625,1.0,2904,23768,0.602316239416505,0.9947905195610566,0.9184896814852841,0.5209480438943426,0.7780744050006932,0.7791527260927238,1.246644361748358,0.8202777912688178,1.3124444660301084,0.7791530863213977,1.2466449381142364
