num,authors,title,journal,volume,issue,pages,year,doi,status,source_url,note
1,Z.A. Jassim; N.N. Ali; F. Mustapha; N.A. Abdul Jalil,A review on the vibration analysis for a damage occurrence of a cantilever beam,Engineering Failure Analysis,31,,442-461,2013,10.1016/j.engfailanal.2013.02.016,verified,https://api.crossref.org/works/10.1016/j.engfailanal.2013.02.016,저자 4명·제목·페이지 신규 확정(초안은 'Z.A. Jassim et al.'과 권·연도만).
2,A.D. Dimarogonas,Vibration of cracked structures: a state of the art review,Engineering Fracture Mechanics,55,5,831-857,1996,10.1016/0013-7944(94)00175-8,verified,https://api.crossref.org/works/10.1016/0013-7944(94)00175-8,초안의 권·페이지가 맞았다. 제목·호·DOI 신규.
3,W.M. Ostachowicz; M. Krawczuk,Analysis of the effect of cracks on the natural frequencies of a cantilever beam,Journal of Sound and Vibration,150,2,191-201,1991,10.1016/0022-460X(91)90615-Q,verified,https://api.crossref.org/works/10.1016/0022-460X(91)90615-Q,초안에 DOI만 있었다(유일하게 [verify]가 없던 항목). 제목·호 신규. 정본 §3.1의 c_θ = 5.346(h/EI)·J(ā) 다항식 출처.
4,G.Y. Xu; W.D. Zhu; B.H. Emory,Experimental and numerical investigation of structural damage detection using changes in natural frequencies,ASME Journal of Vibration and Acoustics,129,6,686-700,2007,10.1115/1.2731409,verified,https://api.crossref.org/works/10.1115/1.2731409,제목·호·페이지 신규.
5,J.P. Kaipio; E. Somersalo,"Statistical and Computational Inverse Problems (Applied Mathematical Sciences, vol. 160)","Springer, New York",,,,2005,10.1007/b138659,verified,https://api.crossref.org/works/10.1007/b138659,ISBN 978-0-387-22073-4 / 978-0-387-27132-3. 초안이 한 항목에 묶어 두었던 Kaipio–Somersalo + Colton–Kress를 5/6/7로 분리했다(서지 확정 가능 단위).
6,J. Kaipio; E. Somersalo,"Statistical inverse problems: discretization, model reduction and inverse crimes",Journal of Computational and Applied Mathematics,198,2,493-504,2007,10.1016/j.cam.2005.09.027,verified,https://api.crossref.org/works/10.1016/j.cam.2005.09.027,"신규 추가. 'inverse crime'을 제목에 담은 정본 인용으로, 초안이 이름만 적었던 용어 출처 문제를 실제 서지로 해소한다."
7,D. Colton; R. Kress,"Inverse Acoustic and Electromagnetic Scattering Theory, 3rd ed. (Applied Mathematical Sciences, vol. 93)","Springer, New York",,,,2013,10.1007/978-1-4614-4942-3,verified,https://api.crossref.org/works/10.1007/978-1-4614-4942-3,"초안은 '(inverse-crime terminology)'만 적고 서지사항이 전혀 없었다. 용어의 원출처로 남기되 확인된 판(3rd ed., 2013)으로 고정. ISBN 978-1-4614-4941-6 / 978-1-4614-4942-3."
8,M.N. Cerri; F. Vestroni,Detection of damage in beams subjected to diffused cracking,Journal of Sound and Vibration,234,2,259-276,2000,10.1006/jsvi.1999.2887,verified,https://api.crossref.org/works/10.1006/jsvi.1999.2887,초안 서지가 맞았다. 호·DOI 신규.
9,A. Morassi,Identification of a crack in a rod based on changes in a pair of natural frequencies,Journal of Sound and Vibration,242,4,577-596,2001,10.1006/jsvi.2000.3380,verified,https://api.crossref.org/works/10.1006/jsvi.2000.3380,초안 서지가 맞았다. 호·DOI 신규.
10,C.-P. Fritzen; D. Jennewein; T. Kiefer,Damage detection based on model updating methods,Mechanical Systems and Signal Processing,12,1,163-186,1998,10.1006/mssp.1997.0139,verified,https://api.crossref.org/works/10.1006/mssp.1997.0139,초안 서지가 맞았다. 호·DOI 신규.
11,A. Kumar; C.M. Krousgrill,Mode-splitting and quasi-degeneracies in circular plate vibration problems: the example of free vibrations of the stator of a traveling wave ultrasonic motor,Journal of Sound and Vibration,331,26,5788-5802,2012,10.1016/j.jsv.2012.07.032,verified,https://api.crossref.org/works/10.1016/j.jsv.2012.07.032,**내용 불일치 정정**: 초안 설명 '[split frequencies / cracked rotationally periodic structures]'는 틀렸다 — 원판(초음파모터 스테이터)의 mode-splitting·준축퇴 논문이며 bladed disk도 crack도 아니다. §2·§3.2의 서술을 이 내용에 맞게 고쳤다.
12,J.H. Kuang; B.W. Huang,The effect of blade crack on mode localization in rotating bladed disks,Journal of Sound and Vibration,227,1,85-103,1999,10.1006/jsvi.1999.2329,verified,https://api.crossref.org/works/10.1006/jsvi.1999.2329,초안 권·페이지가 맞았다. 제목·호·DOI 신규.
13,X. Zhao; H. Li; S. Yang; Z. Fan; J. Dong; H. Cao,Blade vibration measurement and numerical analysis of a mistuned industrial impeller in a single-stage centrifugal compressor,Journal of Sound and Vibration,501,,116068,2021,10.1016/j.jsv.2021.116068,verified,https://api.crossref.org/works/10.1016/j.jsv.2021.116068,"저자 6명·제목 확정. **초안에서 목록에만 있고 본문 인용이 없었다** — §2의 mistuning 문헌 문장에 배선했다(초안은 그 자리에 [9,16]을 썼는데 11은 원판, 12는 bladed disk라 'mistuning 문헌'의 근거가 되지 못했다)."
14,N. Gao; Z. Wei; C. Wang; D. Zhu; S. Wang,Experimental and analytical studies on eliminating natural frequency splitting of an axisymmetric structure with cyclically symmetric feature groups,Journal of Sound and Vibration,562,,117829,2023,10.1016/j.jsv.2023.117829,verified,https://api.crossref.org/works/10.1016/j.jsv.2023.117829,**내용 불일치 정정**: 초안 설명 'split-frequency-based disk crack detection'은 틀렸다 — 순환대칭 특징군이 만드는 분리를 *제거·보정*하는 논문이다(30 Fox의 correction 문제에 대응). §2 서술을 교체했다.
15,L. Zhang; W. Liao; J. Fan,A novel surrogate-based crack identification method for cantilever beam based on the change of natural frequencies,Computers & Structures,292,,107243,2024,10.1016/j.compstruc.2023.107243,verified,https://api.crossref.org/works/10.1016/j.compstruc.2023.107243,"저자(Long Zhang, Wenlin Liao, Juntao Fan)·제목 확정. 초안 설명과 내용 일치."
16,N. Dwek; V. Dimopoulos; D. Janssens; M. Kirchner; E. Deckers; F. Naets,Damage identification in plate-like structures using frequency-coupled ℓ₁-based sparse estimation,Mechanical Systems and Signal Processing,224,,112084,2025,10.1016/j.ymssp.2024.112084,verified,https://api.crossref.org/works/10.1016/j.ymssp.2024.112084,저자 6명·제목 확정. **중복 표기 제거**: 초안은 이 항목 끝에 '17b. [Dessi et al. — see 26.]'를 붙여 한 번호에 두 문헌을 담고 있었다(M3 중복 이력의 잔재) — Dessi는 23번 단일 항목으로 정리했다. 초안이 '실험 포함'이라 적은 부분은 판형 구조 실험이다.
17,M. Rahai; R. Sarfaraz; M. Nourafkan; M. Hamdaoui,Damage localization and quantification in viscoelastic sandwich beams via uncertainty-aware FE model updating with FRF-derived complex modes,Journal of Sound and Vibration,639,,119846,2026,10.1016/j.jsv.2026.119846,verified,https://api.crossref.org/works/10.1016/j.jsv.2026.119846,권 639 신규 확정(초안은 권 공란). 저자 4명·제목 신규.
18,D. Jana; S. Mukhopadhyay; S. Ray-Chaudhuri,Fisher information-based optimal input locations for modal identification,Journal of Sound and Vibration,459,,114833,2019,10.1016/j.jsv.2019.06.040,verified,https://api.crossref.org/works/10.1016/j.jsv.2019.06.040,저자 3명·제목 확정.
19,K. Zhang; X. Yan,Multi-cracks identification method for cantilever beam structure with variable cross-sections based on measured natural frequency changes,Journal of Sound and Vibration,387,,53-65,2017,10.1016/j.jsv.2016.09.028,verified,https://api.crossref.org/works/10.1016/j.jsv.2016.09.028,제목·페이지 신규. **초안에서 미인용**이었고 §2의 주파수기반 식별 문장에 배선.
20,A.C. Altunışık; F.Y. Okur; V. Kahya,Modal parameter identification and vibration based damage detection of a multiple cracked cantilever beam,Engineering Failure Analysis,79,,154-170,2017,10.1016/j.engfailanal.2017.04.026,verified,https://api.crossref.org/works/10.1016/j.engfailanal.2017.04.026,제목·페이지 신규. **초안에서 미인용**이었고 §2에 배선.
21,S.S.B. Chinka; S.R. Putti; B.K. Adavi,Modal testing and evaluation of cracks on cantilever beam using mode shape curvatures and natural frequencies,Structures,32,,1386-1397,2021,10.1016/j.istruc.2021.03.049,verified,https://api.crossref.org/works/10.1016/j.istruc.2021.03.049,공저자 2명·제목·페이지 신규(초안은 'et al.'). **초안에서 미인용**이었고 §2에 배선.
22,N. Gillich; C. Tufisi; C. Sacarea; C.V. Rusu; G.-R. Gillich; Z.-I. Praisach; M. Ardeljan,Beam damage assessment using natural frequency shift and machine learning,Sensors,22,3,1118,2022,10.3390/s22031118,verified,https://api.crossref.org/works/10.3390/s22031118,**저자 정정**: 제1저자는 N.(Nicoleta) Gillich이고 초안이 제1저자로 적은 G.-R. Gillich는 제5저자다. 논문번호 1118. **초안에서 미인용**이었고 §2에 배선.
23,D. Dessi; F. Passacantilli; A. Venturi,Analysis and mitigation of uncertainties in damage identification by modal-curvature based methods,Journal of Sound and Vibration,596,,118769,2025,10.1016/j.jsv.2024.118769,verified,https://api.crossref.org/works/10.1016/j.jsv.2024.118769,"제목 확정. 초안 설명 '노이즈/이산화/편향 전파, Monte-Carlo thresholds'는 모달곡률법의 불확실성 분석이라는 실제 주제와 부합한다. **초안에서 미인용**이었고 §2에 배선(16번의 '17b' 중복 표기도 함께 제거)."
24,T. Lim; H.W. Park,Investigating the modal behaviors of a beam with a transverse crack on a high-frequency bending node,International Journal of Mechanical Sciences,221,,107217,2022,10.1016/j.ijmecsci.2022.107217,verified,https://api.crossref.org/works/10.1016/j.ijmecsci.2022.107217,"초안이 요청한 '저자 이니셜' 확정: Taejeong Lim, Hyun Woo Park. 제목 신규."
25,T. Lim; H.W. Park,Investigating the modal behaviors of a deep beam with a transverse open crack,Journal of Sound and Vibration,590,,118613,2024,10.1016/j.jsv.2024.118613,verified,https://api.crossref.org/works/10.1016/j.jsv.2024.118613,저자·제목 확정.
26,H. Jalali; F. Noohi,A modal-energy based equivalent lumped model for open cracks,Mechanical Systems and Signal Processing,98,,50-62,2018,10.1016/j.ymssp.2017.04.038,verified,https://api.crossref.org/works/10.1016/j.ymssp.2017.04.038,"제목 확정. 초안이 'notch-crack equivalence'라 적었으나 정확히는 '열린 균열의 모달에너지 기반 등가 집중(스프링) 모델'이며, §5 E2의 등가 유연도 보정 절차가 인용하는 대상으로는 맞다 — §2 서술만 그 표현으로 고쳤다."
27,C. Papadimitriou,Optimal sensor placement methodology for parametric identification of structural systems,Journal of Sound and Vibration,278,4-5,923-947,2004,10.1016/j.jsv.2003.10.063,verified,https://api.crossref.org/works/10.1016/j.jsv.2003.10.063,초안의 '[정본 참조문헌을 선정하라 — 예: Kammer; Papadimitriou]' 지시를 해소. Fisher 정보/정보엔트로피 기반 최적배치의 정본으로 이 논문을 선택했다(28과 함께 인용).
28,D.C. Kammer,Sensor placement for on-orbit modal identification and correlation of large space structures,"Journal of Guidance, Control, and Dynamics",14,2,251-259,1991,10.2514/3.20635,verified,https://api.crossref.org/works/10.2514/3.20635,초안의 'e.g. Kammer' 후보를 확정 — effective independence의 원전. 27과 함께 인용.
29,S.A. Tobias; R.N. Arnold,The influence of dynamical imperfection on the vibration of rotating disks,Proceedings of the Institution of Mechanical Engineers,171,1,669-690,1957,10.1243/PIME_PROC_1957_171_056_02,verified,https://api.crossref.org/works/10.1243/PIME_PROC_1957_171_056_02,권 171(1)·페이지 669-690 확정(초안은 '권/페이지 미확인'). 제목도 초안 추정과 일치.
30,C.H.J. Fox,A simple theory for the analysis and correction of frequency splitting in slightly imperfect rings,Journal of Sound and Vibration,142,2,227-243,1990,10.1016/0022-460X(90)90554-D,verified,https://api.crossref.org/works/10.1016/0022-460X(90)90554-D,권 142(2)·페이지 227-243 확정(초안은 '권/페이지 미확인'). 제목도 초안 추정과 일치.
31,R. Perrin; T. Charnley; J. dePont,Normal modes of the modern English church bell,Journal of Sound and Vibration,90,1,29-49,1983,10.1016/0022-460X(83)90401-7,verified,https://api.crossref.org/works/10.1016/0022-460X(83)90401-7,"초안의 '시리즈에서 정본 1편을 고르라'를 해소 — 1983년 시리즈 최초편을 선택했다. 제3저자 J. dePont 신규(초안은 'Perrin, Charnley et al.')."
32,J. Lin; R.G. Parker,Structured vibration characteristics of planetary gears with unequally spaced planets,Journal of Sound and Vibration,233,5,921-928,2000,10.1006/jsvi.1999.2581,verified,https://api.crossref.org/works/10.1006/jsvi.1999.2581,초안의 '정확한 제목 미확인(2000)'을 해소. 대칭성 파괴(불균등 배치)에서의 구조화 모달 특성 — §2가 요구한 내용의 절반.
