config,n_vane,vane_mode,vane_arc_cells,modulation_depth,n_dof,n_rigid,mass_fem_g,mass_analytic_g,f_first_elastic_Hz,n_protected_pairs,floor_split_rel_max,floor_split_rel_median,h_half,split_hN2_lo_Hz,split_hN2_hi_Hz,split_hN2_Hz,split_hN2_rel,partner_overlap,partner_dpsi_deg
c6_asbuilt,6,discrete,-1,1.0,37926,6,61.52498507951415,62.09401227791922,3603.410649169251,8,9.69175017563704e-12,1.7081541680956904e-12,3,6197.103932052163,9337.120391696411,3140.0164596442482,0.40427077583060533,0.9436226978350122,28.805261321014992
c6_web,6,web,-1,0.0,43092,6,168.46492173891903,168.55999140730506,4731.961215400824,7,6.77912341884951e-12,3.568581271893666e-12,3,42174.527957776765,42174.52795788175,1.0498479241505265e-07,2.4892938344212895e-12,1.0000000000000002,29.999999999989733
c4,4,discrete,1,0.962962962962963,37596,6,59.42812357638856,59.8178651696844,2303.080016166983,6,1.8515477624488832e-11,1.839849203341259e-12,2,2303.080016166983,3828.9754160235625,1525.8953998565794,0.49767827989496366,0.9804446965665103,-45.96622291167688
c12,12,discrete,1,0.8888888888888888,38916,6,67.8155695888909,68.92245360262366,4804.201581413491,10,1.4781321267081853e-11,2.806134786641483e-12,6,23360.257730703113,32398.953465091734,9038.69573438862,0.32420457680614695,0.9015391330183131,14.860837653594915
c6_arc1,6,discrete,1,0.9444444444444444,37926,6,61.52498507951415,62.09401227791922,3603.4106491756065,8,2.0898112841901632e-11,9.860863052873223e-13,3,6197.103932071276,9337.120391745897,3140.016459674621,0.4042707758327305,0.9436226978347442,28.805261321015838
c6_arc2,6,discrete,2,0.8888888888888888,38610,6,74.10615409826768,62.09401227791922,3739.146027303648,8,6.27794973210865e-11,1.4496438846319044e-11,3,6317.811792851556,10650.363741293426,4332.55194844187,0.5106679783838275,0.8967248174300438,28.27120451700019
c6_arc6,6,discrete,6,0.6666666666666667,39978,6,99.2684921357747,62.09401227791922,4173.595786088669,8,2.973572745739179e-12,1.4782940538965188e-12,3,7373.8045963733375,11938.547479186755,4564.742882813417,0.47272780290600946,0.8493577315226852,28.88923223664497
c6_arc9,6,discrete,9,0.5,40662,6,111.84966115452819,62.09401227791922,4398.727805554598,7,4.8832789434275455e-12,2.4059574484769776e-12,3,8287.2168716932,12470.64321168973,4183.426339996531,0.40306913363824487,0.8939915135771994,29.59452329791796
c6_arc12,6,discrete,12,0.33333333333333337,42030,6,137.01199919203523,62.09401227791922,4713.271581234358,7,7.2485221953832505e-12,3.711346386820674e-12,3,10552.243408397782,12779.475732203167,2227.232323805385,0.19091883546031907,0.9878139223141541,30.318451243581748
c6_arc15,6,discrete,15,0.16666666666666663,42714,6,149.59316821078878,62.09401227791922,4762.878040017694,7,1.8867106958478463e-11,9.220116471338058e-13,3,11472.459978153882,12530.57755370999,1058.117575556109,0.08816530609106993,0.998524123104673,-29.780737743233505
c6_arc17,6,discrete,17,0.05555555555555558,43092,6,162.17433722954226,62.09401227791922,4759.470378620898,7,8.851201987294741e-12,1.8611109951559218e-12,3,11983.76036813692,12228.16950718086,244.40913904394074,0.02018914975407204,0.9999804684319799,-29.962090173515563
c6_arc18,6,discrete,18,0.0,43092,6,168.46492173891903,62.09401227791922,4731.961215401546,7,1.287264514834698e-11,3.848267588904985e-12,3,35034.63022011133,35034.63022012266,1.1328666005283594e-08,3.2335623165157997e-13,1.0000000000000002,-30.0000000045151
