sigma_rel,xi_d,in_domain_fraction,s_bar_nominal,s_bar_nominal_for_effective_5pct,crlb_xi_mm_at_nominal,crlb_xi_mm_at_effective,truncation_factor,kernel_factor_vs_midspan
0.0001,0.05,0.6910208270076232,0.05,0.0723567192851749,0.44062227763984557,0.30454090772101244,1.4468410202661384,10.904256114688641
0.0001,0.1,0.8407371141872815,0.05,0.05947162217090141,0.19279091218025296,0.16214124434110241,1.1890306686845928,5.805557185340005
0.0001,0.2,0.976977683795894,0.05,0.05117824166232009,0.054268673974117186,0.053022665159168716,1.023499550828086,1.898505935066738
0.0001,0.35,0.9997595915706364,0.05,0.05001202331197373,0.03264687450300764,0.0326390458703459,1.0002398548258071,1.168659140647744
0.0001,0.5,0.9999993882166497,0.05,0.050000030589186235,0.027928627548538486,0.027928610130191194,1.000000623673975,0.9999993763264141
0.0001,0.65,0.9997595915706362,0.05,0.05001202331197374,0.017919672165326854,0.01791505631618712,1.0002576519469584,0.6414585279943203
0.0001,0.8,0.9769776837958941,0.05,0.05117824166232008,0.02411349778434696,0.02360918216802658,1.0213609947490414,0.8453398623686418
0.0001,0.9,0.8407371141872814,0.05,0.05947162217090142,0.0456794189626582,0.03844778894033561,1.1880896202781608,1.3766444080904217
0.0001,0.95,0.6910208270076226,0.05,0.07235671928517497,0.07129544598187702,0.04760783440594062,1.4975570065623611,1.7046249166093361
0.0003,0.05,0.6910208270076232,0.05,0.0723567192851749,1.3218668329197467,0.9136227231632282,1.446841020266066,10.904256114690922
0.0003,0.1,0.8407371141872815,0.05,0.05947162217090141,0.578372736540759,0.48642373302330705,1.1890306686845937,5.805557185340004
0.0003,0.2,0.976977683795894,0.05,0.05117824166232009,0.16280602192235083,0.159067995477506,1.0234995508280824,1.8985059350667366
0.0003,0.35,0.9997595915706364,0.05,0.05001202331197373,0.09794062350902279,0.09791713761103774,1.0002398548258054,1.1686591406477447
0.0003,0.5,0.9999993882166497,0.05,0.050000030589186235,0.08378588264561544,0.08378583039057359,1.0000006236739745,0.9999993763264144
0.0003,0.65,0.9997595915706362,0.05,0.05001202331197374,0.053759016495980555,0.05374516894856136,1.0002576519469584,0.6414585279943205
0.0003,0.8,0.9769776837958941,0.05,0.05117824166232008,0.0723404933530409,0.07082754650407974,1.0213609947490416,0.8453398623686419
0.0003,0.9,0.8407371141872814,0.05,0.05947162217090142,0.13703825688797464,0.11534336682100685,1.1880896202781608,1.376644408090422
0.0003,0.95,0.6910208270076226,0.05,0.07235671928517497,0.21388633794563128,0.14282350321782197,1.4975570065623616,1.7046249166093377
0.001,0.05,0.6910208270076232,0.05,0.0723567192851749,4.406222776399488,3.0454090772094347,1.4468410202668052,10.904256114686179
0.001,0.1,0.8407371141872815,0.05,0.05947162217090141,1.9279091218025262,1.6214124434110295,1.1890306686845868,5.805557185340027
0.001,0.2,0.976977683795894,0.05,0.05117824166232009,0.5426867397411711,0.5302266515916878,1.0234995508280833,1.8985059350667413
0.001,0.35,0.9997595915706364,0.05,0.05001202331197373,0.3264687450300765,0.32639045870345906,1.0002398548258071,1.168659140647745
0.001,0.5,0.9999993882166497,0.05,0.050000030589186235,0.2792862754853847,0.279286101301912,1.000000623673974,0.9999993763264149
0.001,0.65,0.9997595915706362,0.05,0.05001202331197374,0.17919672165326855,0.1791505631618712,1.0002576519469584,0.6414585279943207
0.001,0.8,0.9769776837958941,0.05,0.05117824166232008,0.2411349778434696,0.23609182168026577,1.0213609947490416,0.8453398623686421
0.001,0.9,0.8407371141872814,0.05,0.05947162217090142,0.4567941896265821,0.3844778894033562,1.1880896202781606,1.3766444080904228
0.001,0.95,0.6910208270076226,0.05,0.07235671928517497,0.7129544598187705,0.4760783440594061,1.497557006562362,1.7046249166093366
0.003,0.05,0.6910208270076232,0.05,0.0723567192851749,13.218668329191006,9.136227231632766,1.4468410202652822,10.904256114691501
0.003,0.1,0.8407371141872815,0.05,0.05947162217090141,5.7837273654075885,4.864237330233079,1.189030668684591,5.805557185340015
0.003,0.2,0.976977683795894,0.05,0.05117824166232009,1.6280602192235203,1.590679954775056,1.0234995508280924,1.898505935066732
0.003,0.35,0.9997595915706364,0.05,0.05001202331197373,0.9794062350902287,0.9791713761103769,1.0002398548258067,1.1686591406477442
0.003,0.5,0.9999993882166497,0.05,0.050000030589186235,0.8378588264561544,0.8378583039057361,1.0000006236739742,0.9999993763264147
0.003,0.65,0.9997595915706362,0.05,0.05001202331197374,0.5375901649598057,0.5374516894856135,1.0002576519469586,0.6414585279943203
0.003,0.8,0.9769776837958941,0.05,0.05117824166232008,0.7234049335304088,0.7082754650407976,1.0213609947490412,0.8453398623686422
0.003,0.9,0.8407371141872814,0.05,0.05947162217090142,1.3703825688797464,1.1534336682100685,1.1880896202781608,1.3766444080904223
0.003,0.95,0.6910208270076226,0.05,0.07235671928517497,2.1388633794563128,1.4282350321782191,1.4975570065623622,1.704624916609337
