mode,f_Hz,h_index,degeneracy,m_dominant,radial_order_n,family,m_second,m_second_share,h_matches_folding,in_band_20kHz,amp_m0,amp_m1,amp_m2,amp_m3,amp_m4,amp_m5,amp_m6
0,3603.4,2,2,2,0,m2n0,4,0.119,True,True,0.0,0.0,1.0,0.0,0.119,0.0,0.0
1,3603.4,2,2,2,0,m2n0,4,0.119,True,True,0.0,0.0,1.0,0.0,0.119,0.0,0.0
2,6197.1,3,1,3,1,m3n1,4,0.0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,7620.5,1,2,1,1,m1n1,5,0.218,True,True,0.0,1.0,0.0,0.0,0.0,0.218,0.0
4,7620.5,1,2,1,1,m1n1,5,0.218,True,True,0.0,1.0,0.0,0.0,0.0,0.218,0.0
5,7684.7,0,1,0,1,m0n1,6,0.599,True,True,1.0,0.0,0.0,0.0,0.0,0.0,0.599
6,9337.1,3,1,3,0,m3n0,4,0.0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,9995.7,2,2,2,1,m2n1,4,0.935,True,True,0.0,0.0,1.0,0.0,0.935,0.0,0.0
8,9995.7,2,2,2,1,m2n1,4,0.935,True,True,0.0,0.0,1.0,0.0,0.935,0.0,0.0
9,11182.1,3,1,3,1,m3n1,2,0.0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,11237.8,2,2,2,1,m2n1,4,0.919,True,True,0.0,0.0,1.0,0.0,0.919,0.0,0.0
11,11237.8,2,2,2,1,m2n1,4,0.919,True,True,0.0,0.0,1.0,0.0,0.919,0.0,0.0
12,11352.6,1,2,1,1,m1n1,5,0.793,True,True,0.0,1.0,0.0,0.0,0.0,0.793,0.0
13,11352.6,1,2,1,1,m1n1,5,0.793,True,True,0.0,1.0,0.0,0.0,0.0,0.793,0.0
14,11412.4,0,1,6,1,m6n1,0,0.785,True,True,0.785,0.0,0.0,0.0,0.0,0.0,1.0
15,12262.4,2,2,4,0,m4n0,2,0.453,True,True,0.0,0.0,0.453,0.0,1.0,0.0,0.0
16,12262.4,2,2,4,0,m4n0,2,0.453,True,True,0.0,0.0,0.453,0.0,1.0,0.0,0.0
17,13503.3,3,1,3,1,m3n1,4,0.0,True,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,14120.8,1,2,5,0,m5n0,1,0.163,True,True,0.0,0.163,0.0,0.0,0.0,1.0,0.0
19,14120.8,1,2,5,0,m5n0,1,0.163,True,True,0.0,0.163,0.0,0.0,0.0,1.0,0.0
