sigma_rel,xi_d,s_bar_threshold
0.0001,0.05,0.009448396488134048
0.0001,0.07250000000000001,0.00977304275400363
0.0001,0.095,0.010335207290498786
0.0001,0.11750000000000001,0.011034827541027099
0.0001,0.14,0.01170696791590081
0.0001,0.16249999999999998,0.012160256139243767
0.0001,0.185,0.01229562511894995
0.0001,0.20750000000000002,0.012178746020390195
0.0001,0.22999999999999998,0.011968460814158241
0.0001,0.2525,0.011801090618344869
0.0001,0.27499999999999997,0.011744778612184195
0.0001,0.2975,0.011810815527302862
0.0001,0.32,0.011977906653703093
0.0001,0.34249999999999997,0.012216554571300683
0.0001,0.365,0.012507376263389318
0.0001,0.38749999999999996,0.01285126162725578
0.0001,0.41,0.013268203234329663
0.0001,0.4325,0.013787394157120712
0.0001,0.45499999999999996,0.014435191520048324
0.0001,0.4775,0.015225536759472318
0.0001,0.49999999999999994,0.016162417711730288
0.0001,0.5225,0.017236629818060806
0.0001,0.545,0.01843104839746448
0.0001,0.5675,0.019746942667501988
0.0001,0.5900000000000001,0.021201434443682828
0.0001,0.6125,0.02282991384336569
0.0001,0.635,0.024699631922108202
0.0001,0.6575,0.026731387863931918
0.0001,0.68,0.028971116455484825
0.0001,0.7025,0.031424860847078094
0.0001,0.725,0.03303321134317317
0.0001,0.7475,0.034553235260454396
0.0001,0.77,0.034274400502197586
0.0001,0.7925,0.033968457538270255
0.0001,0.8150000000000001,0.03370721640142643
0.0001,0.8375,0.03359000430880934
0.0001,0.86,0.03373993906561042
0.0001,0.8825000000000001,0.034301525503808036
0.0001,0.905,0.03544517136417621
0.0001,0.9275,0.037381095568470066
0.0001,0.95,0.04038239721723397
0.0003,0.05,0.016262883165861792
0.0003,0.07250000000000001,0.016826558624450993
0.0003,0.095,0.01779472274217494
0.0003,0.11750000000000001,0.01899320647134161
0.0003,0.14,0.02014068886449705
0.0003,0.16249999999999998,0.020910233469658535
0.0003,0.185,0.021130287041860495
0.0003,0.20750000000000002,0.020918165766229922
0.0003,0.22999999999999998,0.020548551700210877
0.0003,0.2525,0.020257779173006016
0.0003,0.27499999999999997,0.020161332797967498
0.0003,0.2975,0.020275208885300572
0.0003,0.32,0.020560388143571827
0.0003,0.34249999999999997,0.020963707192605173
0.0003,0.365,0.021448867691899135
0.0003,0.38749999999999996,0.022020064859434446
0.0003,0.41,0.022713574710787728
0.0003,0.4325,0.023581178639200583
0.0003,0.45499999999999996,0.02466939544195515
0.0003,0.4775,0.02600047679915822
0.0003,0.49999999999999994,0.027573899850405696
0.0003,0.5225,0.029374732273433783
0.0003,0.545,0.0313721743675958
0.0003,0.5675,0.03355202606720091
0.0003,0.5900000000000001,0.03595508577884786
0.0003,0.6125,0.038637699990641684
0.0003,0.635,0.04170622116369436
0.0003,0.6575,0.04514619716161619
0.0003,0.68,0.04883775031313591
0.0003,0.7025,0.05306367662247332
0.0003,0.725,0.055954720274876156
0.0003,0.7475,0.05875327044126964
0.0003,0.77,0.05840664425384228
0.0003,0.7925,0.05792069195504608
0.0003,0.8150000000000001,0.05749881171355096
0.0003,0.8375,0.057314752599547145
0.0003,0.86,0.05758368294166006
0.0003,0.8825000000000001,0.05855558456299631
0.0003,0.905,0.06052288129697935
0.0003,0.9275,0.06384791814392711
0.0003,0.95,0.06898944064690793
0.001,0.05,0.029330275678458674
0.001,0.07250000000000001,0.03036562118976103
0.001,0.095,0.03210882517550491
0.001,0.11750000000000001,0.034250690451246
0.001,0.14,0.03628875788258619
0.001,0.16249999999999998,0.037634560978279906
0.001,0.185,0.03798633089021359
0.001,0.20750000000000002,0.03756470108292849
0.001,0.22999999999999998,0.03687615484614561
0.001,0.2525,0.036342982136756775
0.001,0.27499999999999997,0.0361705104134854
0.001,0.2975,0.036377192762859015
0.001,0.32,0.03688205574752513
0.001,0.34249999999999997,0.037576884654202905
0.001,0.365,0.03839899222135289
0.001,0.38749999999999996,0.03935827777971643
0.001,0.41,0.0405271762693774
0.001,0.4325,0.042004612596801424
0.001,0.45499999999999996,0.04387593936576214
0.001,0.4775,0.04616825871682916
0.001,0.49999999999999994,0.04887476724421088
0.001,0.5225,0.05196018824408425
0.001,0.545,0.05534709581906595
0.001,0.5675,0.058986452571888684
0.001,0.5900000000000001,0.06296796937831359
0.001,0.6125,0.06738896959027316
0.001,0.635,0.07241307635097356
0.001,0.6575,0.07831043048973675
0.001,0.68,0.0844700867700319
0.001,0.7025,0.09146298545356579
0.001,0.725,0.09758890902262626
0.001,0.7475,0.10239827584746977
0.001,0.77,0.10312427903724737
0.001,0.7925,0.10237279859940772
0.001,0.8150000000000001,0.10169063442511964
0.001,0.8375,0.10140932067812139
0.001,0.86,0.10193126570768166
0.001,0.8825000000000001,0.10370832220951229
0.001,0.905,0.1072584786432451
0.001,0.9275,0.11322460021309945
0.001,0.95,0.12236388146606456
0.003,0.05,0.049789284150267205
0.003,0.07250000000000001,0.051595359218447004
0.003,0.095,0.05455796667296704
0.003,0.11750000000000001,0.05811991675736683
0.003,0.14,0.0614813348801844
0.003,0.16249999999999998,0.06366914079763533
0.003,0.185,0.06415644162235586
0.003,0.20750000000000002,0.06332756515111378
0.003,0.22999999999999998,0.06208447053877109
0.003,0.2525,0.06115960656487932
0.003,0.27499999999999997,0.06087420377808315
0.003,0.2975,0.06122972832923537
0.003,0.32,0.0620588706045654
0.003,0.34249999999999997,0.06316281944191281
0.003,0.365,0.06442739395416444
0.003,0.38749999999999996,0.06587523112194077
0.003,0.41,0.06762869088676185
0.003,0.4325,0.06988835274964954
0.003,0.45499999999999996,0.07280099162580943
0.003,0.4775,0.07643226884541916
0.003,0.49999999999999994,0.08070934052194947
0.003,0.5225,0.08545888011219502
0.003,0.545,0.09061806181138365
0.003,0.5675,0.09611752082536737
0.003,0.5900000000000001,0.10183074567008767
0.003,0.6125,0.10820679670347708
0.003,0.635,0.11561497337428651
0.003,0.6575,0.12392615173504198
0.003,0.68,0.13367944857881026
0.003,0.7025,0.1438375093080382
0.003,0.725,0.15461177929681874
0.003,0.7475,0.16313465719139464
0.003,0.77,0.16835856828255327
0.003,0.7925,0.16724809709465513
0.003,0.8150000000000001,0.1661503482079794
0.003,0.8375,0.1657462495344982
0.003,0.86,0.16677050896834208
0.003,0.8825000000000001,0.1699313447090983
0.003,0.905,0.17572532507301775
0.003,0.9275,0.18534092168149138
0.003,0.95,0.20034495373386138
