sigma_rel,xi_d,s_bar_threshold
0.0001,0.05,0.009478905536755098
0.0001,0.07250000000000001,0.009811542378733249
0.0001,0.095,0.010383004832965547
0.0001,0.11750000000000001,0.011096339252325026
0.0001,0.14,0.011792040834946253
0.0001,0.16249999999999998,0.012281742880842725
0.0001,0.185,0.012460112232147843
0.0001,0.20750000000000002,0.012378929200585202
0.0001,0.22999999999999998,0.012187999083461762
0.0001,0.2525,0.012022991437823212
0.0001,0.27499999999999997,0.01195464716540375
0.0001,0.2975,0.011995956988345248
0.0001,0.32,0.012126461865576059
0.0001,0.34249999999999997,0.01231587427554974
0.0001,0.365,0.012543019848253739
0.0001,0.38749999999999996,0.012806020862289758
0.0001,0.41,0.013120837070488701
0.0001,0.4325,0.01351153573155148
0.0001,0.45499999999999996,0.013999598439194703
0.0001,0.4775,0.014596586418270989
0.0001,0.49999999999999994,0.015304994266767215
0.0001,0.5225,0.016124925233327873
0.0001,0.545,0.017061370025668727
0.0001,0.5675,0.01813467023207646
0.0001,0.5900000000000001,0.0194033670810479
0.0001,0.6125,0.020976492399254153
0.0001,0.635,0.022139891688727584
0.0001,0.6575,0.021933955619557157
0.0001,0.68,0.021779457144667995
0.0001,0.7025,0.02170326789671284
0.0001,0.725,0.02173378740712947
0.0001,0.7475,0.021904586805004556
0.0001,0.77,0.02225925049571374
0.0001,0.7925,0.022857725740847164
0.0001,0.8150000000000001,0.023785330684678554
0.0001,0.8375,0.02205426979212682
0.0001,0.86,0.02061414991932233
0.0001,0.8825000000000001,0.01985461466362382
0.0001,0.905,0.01969253051692068
0.0001,0.9275,0.020125376691508882
0.0001,0.95,0.021220841509564534
0.0003,0.05,0.01631549375512651
0.0003,0.07250000000000001,0.016893027143113592
0.0003,0.095,0.017877029679081537
0.0003,0.11750000000000001,0.019099001267681888
0.0003,0.14,0.02028701504531199
0.0003,0.16249999999999998,0.021119352487246584
0.0003,0.185,0.02141354915454111
0.0003,0.20750000000000002,0.021262735838424227
0.0003,0.22999999999999998,0.020927244106592326
0.0003,0.2525,0.02063991391748662
0.0003,0.27499999999999997,0.020522466957616583
0.0003,0.2975,0.020594582210764868
0.0003,0.32,0.020818055895251788
0.0003,0.34249999999999997,0.02113760653051428
0.0003,0.365,0.021515967360596716
0.0003,0.38749999999999996,0.021951478035279304
0.0003,0.41,0.022473528463916308
0.0003,0.4325,0.023125156450911732
0.0003,0.45499999999999996,0.02394389039678408
0.0003,0.4775,0.02495059029987791
0.0003,0.49999999999999994,0.026143391694006077
0.0003,0.5225,0.027518962962288392
0.0003,0.545,0.02908484704753198
0.0003,0.5675,0.03087695995427283
0.0003,0.5900000000000001,0.03297563177025966
0.0003,0.6125,0.03557343476506676
0.0003,0.635,0.03791646581601026
0.0003,0.6575,0.037581645463205325
0.0003,0.68,0.037338009496626176
0.0003,0.7025,0.037232581478527316
0.0003,0.725,0.03731530147198679
0.0003,0.7475,0.03764628215762338
0.0003,0.77,0.03830570197014536
0.0003,0.7925,0.03940756656811328
0.0003,0.8150000000000001,0.04098218825219455
0.0003,0.8375,0.037221876209002
0.0003,0.86,0.03482708647161638
0.0003,0.8825000000000001,0.033565462430059784
0.0003,0.905,0.033293368569458595
0.0003,0.9275,0.034010095741359034
0.0003,0.95,0.03583518832935773
0.001,0.05,0.029425428844858444
0.001,0.07250000000000001,0.030486070041916363
0.001,0.095,0.032257582018448826
0.001,0.11750000000000001,0.03444145341741555
0.001,0.14,0.03655254512677481
0.001,0.16249999999999998,0.03801145634017464
0.001,0.185,0.038498348813328545
0.001,0.20750000000000002,0.03818634291573985
0.001,0.22999999999999998,0.037555678411107726
0.001,0.2525,0.037030835479683305
0.001,0.27499999999999997,0.0368203351388901
0.001,0.2975,0.036953802010965625
0.001,0.32,0.037349410550868024
0.001,0.34249999999999997,0.037900956270484676
0.001,0.365,0.03853992801255363
0.001,0.38749999999999996,0.03926630820224292
0.001,0.41,0.0401402585173197
0.001,0.4325,0.041245203764122454
0.001,0.45499999999999996,0.04265064528740857
0.001,0.4775,0.04439147654846121
0.001,0.49999999999999994,0.046445924677926465
0.001,0.5225,0.04880550668358731
0.001,0.545,0.05147224018000953
0.001,0.5675,0.054497655816531806
0.001,0.5900000000000001,0.05798852126915324
0.001,0.6125,0.06229396404368134
0.001,0.635,0.06758710196410737
0.001,0.6575,0.0671202634747161
0.001,0.68,0.06676265241689687
0.001,0.7025,0.06666910640764429
0.001,0.725,0.06693400171173255
0.001,0.7475,0.06767592067676435
0.001,0.77,0.06906299828907957
0.001,0.7925,0.07135278322361661
0.001,0.8150000000000001,0.07103617898378886
0.001,0.8375,0.0646354483984232
0.001,0.86,0.060616439810244685
0.001,0.8825000000000001,0.058487076771089885
0.001,0.905,0.05801614600739924
0.001,0.9275,0.05921260336371925
0.001,0.95,0.06229033392307246
0.003,0.05,0.04995075668999682
0.003,0.07250000000000001,0.05180102889432968
0.003,0.095,0.05481098724424457
0.003,0.11750000000000001,0.05844295871216806
0.003,0.14,0.061927097942367344
0.003,0.16249999999999998,0.06431358175416603
0.003,0.185,0.06503607356481661
0.003,0.20750000000000002,0.06439359299442801
0.003,0.22999999999999998,0.06324084345645156
0.003,0.2525,0.06231756905878489
0.003,0.27499999999999997,0.061967276286024164
0.003,0.2975,0.06220488274950344
0.003,0.32,0.06286557478452562
0.003,0.34249999999999997,0.06374580241556689
0.003,0.365,0.06472149856455588
0.003,0.38749999999999996,0.06580170460499622
0.003,0.41,0.06709517673657936
0.003,0.4325,0.06877183490061697
0.003,0.45499999999999996,0.07095280278678631
0.003,0.4775,0.07368832493219152
0.003,0.49999999999999994,0.07695652166937843
0.003,0.5225,0.080657490056562
0.003,0.545,0.08471044260126664
0.003,0.5675,0.08923629767285107
0.003,0.5900000000000001,0.0944770435213649
0.003,0.6125,0.10070398390607824
0.003,0.635,0.10879356309561988
0.003,0.6575,0.11191054599084711
0.003,0.68,0.11154167440669613
0.003,0.7025,0.11168288192215567
0.003,0.725,0.11250998980743326
0.003,0.7475,0.11426351922675287
0.003,0.77,0.11731538949170305
0.003,0.7925,0.12239222024050928
0.003,0.8150000000000001,0.11298869049101831
0.003,0.8375,0.10336670852279273
0.003,0.86,0.09741086934525477
0.003,0.8825000000000001,0.09414532025155675
0.003,0.905,0.09336885498792752
0.003,0.9275,0.09518895025635035
0.003,0.95,0.09977788867906075
