sigma_rel,xi_d,s_bar,sigma_min,sigma_max,cond2,det_F,tr_Finv,corr,crlb_xi_mm,crlb_s_pp,mass_coupling
0.0001,0.2,0.01,81.91874833281919,14381.13229862168,175.5536136879688,1387882753413.916,0.00014902100077477187,0.974720461725873,0.25822490679346594,0.031131766376072165,None
0.0001,0.2,0.05,406.5874693533409,14487.465137396599,35.63185348638083,34697068835347.848,6.053881971249556e-06,0.974720461725873,0.05164498135869329,0.03113176637607223,None
0.0001,0.2,0.15,1151.2065274606355,15350.21296452887,13.334021826985998,312273619518131.4,7.588034970450033e-07,0.974720461725873,0.0172149937862311,0.03113176637607223,None
0.0001,0.5,0.01,121.65415578688514,6715.634204768844,55.20266990741651,667464179369.896,6.75909567888284e-05,0.6565981815844337,0.17391405195752482,0.019744999292846493,None
0.0001,0.5,0.05,606.4477710131556,6735.821688237032,11.107010381098279,16686604484247.375,2.7410653112722884e-06,0.6565981815844335,0.03478281039150495,0.019744999292846493,None
0.0001,0.5,0.15,1772.4876266768408,6913.8830431759825,3.90066646396766,150179440358226.75,3.3921747877021066e-07,0.6565981815844336,0.011594270130501657,0.019744999292846493,None
0.0001,0.8,0.01,45.423399224502695,5676.7199038175895,124.97347183905609,66489672630.66004,0.0004846950041491875,0.4096535906058716,0.46583619337292453,0.019310595812931996,None
0.0001,0.8,0.05,227.0817560129931,5677.600856275592,25.002452667094634,1662241815766.5044,1.9423598480589936e-05,0.40965359060587114,0.09316723867458489,0.019310595812931996,None
0.0001,0.8,0.15,680.3534497371783,5685.043147272871,8.356014288556944,14960176341898.469,2.19132419656781e-06,0.4096535906058715,0.031055746224861642,0.019310595812931996,None
0.0001,0.95,0.01,12.90582340123276,4155.235674447586,321.9659486469247,2875827007.5980425,0.0060038903678356495,0.9979841738897529,1.637608442382535,0.3796659598126983,None
0.0001,0.95,0.05,62.753131026565754,4272.833636159161,68.08956885912689,71895675189.94687,0.00025399365385332954,0.9979841738897529,0.3275216884765172,0.37966595981271006,None
0.0001,0.95,0.15,156.1798197030465,5150.480187538271,32.977885346078445,647061076709.5325,4.103451629841423e-05,0.997984173889753,0.10917389615883809,0.3796659598127067,None
0.0003,0.2,0.01,27.30624944427305,4793.7107662072285,175.55361368796898,17134354980.418634,0.0013411890069729526,0.974720461725873,0.7746747203803995,0.09339529912821672,None
0.0003,0.2,0.05,135.52915645111366,4829.155045798865,35.63185348638081,428358874510.4652,5.448493774124612e-05,0.9747204617258731,0.15493494407608002,0.0933952991282168,None
0.0003,0.2,0.15,383.73550915354525,5116.7376548429565,13.334021826985996,3855229870594.1963,6.829231473405051e-06,0.9747204617258731,0.05164498135869337,0.09339529912821684,None
0.0003,0.5,0.01,40.55138526229505,2238.544734922948,55.20266990741651,8240298510.739476,0.0006083186110994557,0.6565981815844337,0.5217421558725744,0.05923499787853948,None
0.0003,0.5,0.05,202.1492570043852,2245.2738960790107,11.10701038109828,206007462768.48657,2.4669587801450594e-05,0.6565981815844334,0.10434843117451487,0.05923499787853947,None
0.0003,0.5,0.15,590.8292088922806,2304.6276810586605,3.9006664639676574,1854067164916.3772,3.052957308931895e-06,0.6565981815844337,0.03478281039150495,0.05923499787853948,None
0.0003,0.8,0.01,15.141133074834231,1892.2399679391967,124.9734718390561,820860155.9340736,0.004362255037342687,0.4096535906058717,1.3975085801187734,0.05793178743879599,None
