a,b,cos
m0n0,m1n0,0.999747859279848
m0n0,m2n0,0.985354748464608
m0n0,m3n0,0.7685009120356127
m0n0,m0n1,0.6831796109385916
m0n0,m1n1,0.6813320792412847
m0n0,m2n1,0.6708150622879693
m0n0,m3n1,0.6436986923409593
m1n0,m2n0,0.9857412427543373
m1n0,m3n0,0.7663340368828107
m1n0,m0n1,0.693689988756013
m1n0,m1n1,0.6913681441033247
m1n0,m2n1,0.6795040579746601
m1n0,m3n1,0.6504773510226285
m2n0,m3n0,0.8612790853796358
m2n0,m0n1,0.7678011352838899
m2n0,m1n1,0.7697690494344931
m2n0,m2n1,0.7692187893596807
m2n0,m3n1,0.7544630010310366
m3n0,m0n1,0.7902904660803809
m3n0,m1n1,0.8072133581011647
m3n0,m2n1,0.8475285042231842
m3n0,m3n1,0.8876437052795955
m0n1,m1n1,0.9993558998686822
m0n1,m2n1,0.9911345114781461
m0n1,m3n1,0.9651690714076148
m1n1,m2n1,0.9952551589148463
m1n1,m3n1,0.9738271401426276
m2n1,m3n1,0.9912266327935848
