xi_d,s_bar,sigma_rel,f_max_kHz,set,model,n_obs,det_F,sigma_min,cond2,crlb_xi_mm,crlb_s_pp,labels,pool_ms,mass_coupling
0.2,0.01,0.0001,20.0,default_m0_3,gaussian_radial,4,1387882753413.916,81.91874833281919,175.5536136879688,0.25822490679346594,0.031131766376072165,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.2,0.01,0.0001,20.0,d_optimal_4,gaussian_radial,4,2425881783694.927,125.2347915036769,99.30813421338247,0.16891494238676644,0.020604064484853944,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,None
0.2,0.01,0.0001,20.0,all_measurable,gaussian_radial,5,3348477617211.626,125.24356876377932,116.65754476422514,0.16890335406562587,0.02011934274062107,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.2,0.01,0.0001,20.0,freq_only,pocket,3,56430589.657186225,6.918301785707734,156.94890460112617,3.0564773191787395,0.5404718305042073,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.2,0.01,0.0001,20.0,freq_plus_splitting,pocket,6,1291362497.230066,27.893200545760948,46.18781166428707,0.7578408272851194,0.1788902682985531,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.2,0.01,0.0003,20.0,default_m0_3,gaussian_radial,4,17134354980.418634,27.30624944427305,175.55361368796898,0.7746747203803995,0.09339529912821672,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.2,0.01,0.0003,20.0,d_optimal_4,gaussian_radial,4,29949157823.394226,41.74493050122564,99.30813421338247,0.5067448271602991,0.06181219345456182,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,None
0.2,0.01,0.0003,20.0,all_measurable,gaussian_radial,5,41339229842.11864,41.74785625459311,116.65754476422515,0.5067100621968776,0.06035802822186321,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.2,0.01,0.0003,20.0,freq_only,pocket,3,696673.9463850129,2.306100595235912,156.94890460112615,9.169431957536233,1.6214154915126244,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.2,0.01,0.0003,20.0,freq_plus_splitting,pocket,6,15942746.879383512,9.297733515253652,46.18781166428703,2.2735224818553577,0.536670804895659,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
