xi_d,s_bar,sigma_rel,f_max_kHz,set,model,n_obs,det_F,sigma_min,cond2,crlb_xi_mm,crlb_s_pp,labels,pool_ms,mass_coupling
0.2,0.01,0.0001,20.0,default_m0_3,gaussian_radial,4,1243032264814.2434,78.11103064233697,182.73278127566272,0.2708049983031883,0.033990658378256024,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.2,0.01,0.0001,20.0,d_optimal_4,gaussian_radial,4,2161521724205.46,119.15555757429969,103.55026053071474,0.17752767874880512,0.022457757058210966,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.2,0.01,0.0001,20.0,all_measurable,gaussian_radial,5,2983884971689.0254,119.16879105472556,121.63707594263671,0.17750829744899863,0.021989133573933742,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.2,0.01,0.0001,20.0,freq_only,pocket,3,56430589.657186225,6.918301785707734,156.94890460112617,3.0564773191787395,0.5404718305042073,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.2,0.01,0.0001,20.0,freq_plus_splitting,pocket,6,1291362497.230066,27.893200545760948,46.18781166428707,0.7578408272851194,0.1788902682985531,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.2,0.01,0.0003,20.0,default_m0_3,gaussian_radial,4,15346077343.385538,26.03701021411232,182.73278127566272,0.8124149949095685,0.10197197513476851,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.2,0.01,0.0003,20.0,d_optimal_4,gaussian_radial,4,26685453385.25275,39.71851919143324,103.55026053071472,0.5325830362464147,0.0673732711746328,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.2,0.01,0.0003,20.0,all_measurable,gaussian_radial,5,36838086070.2347,39.72293035157522,121.63707594263656,0.5325248923469971,0.06596740072180139,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.2,0.01,0.0003,20.0,freq_only,pocket,3,696673.9463850129,2.306100595235912,156.94890460112615,9.169431957536233,1.6214154915126244,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.2,0.01,0.0003,20.0,freq_plus_splitting,pocket,6,15942746.879383512,9.297733515253652,46.18781166428703,2.2735224818553577,0.536670804895659,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.2,0.01,0.001,20.0,default_m0_3,gaussian_radial,4,124303226.48142378,7.811103064233698,182.73278127566272,2.7080499830318834,0.3399065837825603,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.2,0.01,0.001,20.0,d_optimal_4,gaussian_radial,4,216152172.4205466,11.915555757429972,103.55026053071468,1.775276787488049,0.2245775705821094,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.2,0.01,0.001,20.0,all_measurable,gaussian_radial,5,298388497.1689023,11.916879105472558,121.63707594263668,1.7750829744899863,0.21989133573933747,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.2,0.01,0.001,20.0,freq_only,pocket,3,5643.058965718597,0.6918301785707738,156.9489046011261,30.564773191787467,5.404718305042086,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.2,0.01,0.001,20.0,freq_plus_splitting,pocket,6,129136.24972300604,2.7893200545760943,46.18781166428708,7.578408272851202,1.7889026829855326,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.2,0.01,0.003,20.0,default_m0_3,gaussian_radial,4,1534607.7343385578,2.6037010214112315,182.7327812756628,8.124149949095676,1.0197197513476841,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.2,0.01,0.003,20.0,d_optimal_4,gaussian_radial,4,2668545.3385252724,3.971851919143324,103.55026053071468,5.3258303624641465,0.673732711746328,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.2,0.01,0.003,20.0,all_measurable,gaussian_radial,5,3683808.6070234673,3.9722930351575205,121.63707594263661,5.325248923469971,0.6596740072180138,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.2,0.01,0.003,20.0,freq_only,pocket,3,69.66739463850168,0.23061005952359123,156.94890460112606,91.69431957536213,16.214154915126212,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.2,0.01,0.003,20.0,freq_plus_splitting,pocket,6,1594.2746879383499,0.9297733515253651,46.187811664287025,22.735224818553593,5.366708048956595,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.2,0.05,0.0001,20.0,default_m0_3,gaussian_radial,4,30924502645755.72,386.6504490942981,37.19754894864494,0.05426828848356198,0.034111655366092106,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.2,0.05,0.0001,20.0,d_optimal_4,gaussian_radial,4,53766060966492.195,590.1437829123686,21.054185139979356,0.035577922056151456,0.0225364969028466,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.2,0.05,0.0001,20.0,all_measurable,gaussian_radial,5,74221967631625.84,590.2398816817113,24.72914664897137,0.035573958588561216,0.022068213109072622,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.2,0.05,0.0001,20.0,freq_only,pocket,3,1400896018.5885372,33.94283546584656,32.48678338217005,0.613022530499372,0.542974723471548,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.2,0.05,0.0001,20.0,freq_plus_splitting,pocket,6,32295684713.170353,136.27706049975433,9.676687894000418,0.1514326165958703,0.1790238033413353,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.2,0.05,0.0003,20.0,default_m0_3,gaussian_radial,4,381783983280.933,128.88348303143266,37.19754894864496,0.16280486545068615,0.10233496609827646,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.2,0.05,0.0003,20.0,d_optimal_4,gaussian_radial,4,663778530450.5201,196.71459430412287,21.054185139979356,0.10673376616845427,0.06760949070853975,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.2,0.05,0.0003,20.0,all_measurable,gaussian_radial,5,916320588044.7623,196.74662722723707,24.729146648971376,0.10672187576568365,0.06620463932721785,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.2,0.05,0.0003,20.0,freq_only,pocket,3,17295012.57516704,11.31427848861552,32.48678338217006,1.83906759149812,1.6289241704146478,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.2,0.05,0.0003,20.0,freq_plus_splitting,pocket,6,398712156.95272136,45.42568683325146,9.676687894000413,0.4542978497876106,0.5370714100240056,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.2,0.05,0.001,20.0,default_m0_3,gaussian_radial,4,3092450264.57558,38.665044909429795,37.19754894864496,0.5426828848356183,0.3411165536609202,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.2,0.05,0.001,20.0,d_optimal_4,gaussian_radial,4,5376606096.649215,59.01437829123686,21.054185139979356,0.35577922056151456,0.225364969028466,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.2,0.05,0.001,20.0,all_measurable,gaussian_radial,5,7422196763.162578,59.02398816817112,24.72914664897137,0.3557395858856122,0.22068213109072615,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.2,0.05,0.001,20.0,freq_only,pocket,3,140089.60185885557,3.394283546584654,32.486783382170074,6.13022530499368,5.429747234715444,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.2,0.05,0.001,20.0,freq_plus_splitting,pocket,6,3229568.471317044,13.627706049975433,9.676687894000414,1.5143261659587017,1.7902380334133519,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.2,0.05,0.003,20.0,default_m0_3,gaussian_radial,4,38178398.32809367,12.888348303143264,37.197548948644965,1.628048654506856,1.0233496609827613,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.2,0.05,0.003,20.0,d_optimal_4,gaussian_radial,4,66377853.04505219,19.671459430412284,21.054185139979356,1.0673376616845418,0.6760949070853968,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.2,0.05,0.003,20.0,all_measurable,gaussian_radial,5,91632058.80447616,19.6746627227237,24.729146648971383,1.0672187576568357,0.662046393272178,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.2,0.05,0.003,20.0,freq_only,pocket,3,1729.5012575167334,1.1314278488615526,32.486783382170024,18.39067591498105,16.28924170414634,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.2,0.05,0.003,20.0,freq_plus_splitting,pocket,6,39871.2156952721,4.542568683325145,9.676687894000413,4.5429784978761045,5.370714100240056,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.5,0.01,0.0001,20.0,default_m0_3,gaussian_radial,4,598289760354.6068,149.34545083338557,34.67941705300962,0.14158413549337115,0.03178821331815358,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.5,0.01,0.0001,20.0,d_optimal_4,gaussian_radial,4,1248987040428.8003,193.9379113171243,29.713481321491827,0.1090943671516064,0.019055531752116106,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.01,0.0001,20.0,all_measurable,gaussian_radial,5,1787328743669.739,209.0242175426789,30.599124953844147,0.10120966427040298,0.01862106052839385,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.01,0.0001,20.0,freq_only,pocket,3,21037040.090852372,11.087863672741555,37.307535606624874,1.9073496215015935,0.383858319528069,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.5,0.01,0.0001,20.0,freq_plus_splitting,pocket,6,100142646.58299752,20.5375438245901,23.72534443474602,1.030134393989859,0.22386970782041216,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.5,0.01,0.0003,20.0,default_m0_3,gaussian_radial,4,7386293337.711185,49.78181694446186,34.67941705300963,0.4247524064801134,0.09536463995446075,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.5,0.01,0.0003,20.0,d_optimal_4,gaussian_radial,4,15419593091.713566,64.64597043904145,29.713481321491823,0.3272831014548192,0.05716659525634831,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.01,0.0003,20.0,all_measurable,gaussian_radial,5,22065786958.88572,69.67473918089296,30.599124953844154,0.30362899281120886,0.05586318158518155,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.01,0.0003,20.0,freq_only,pocket,3,259716.54433151137,3.695954557580519,37.307535606624874,5.722048864504779,1.1515749585842068,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.5,0.01,0.0003,20.0,freq_plus_splitting,pocket,6,1236328.9701604617,6.845847941530034,23.725344434746013,3.090403181969578,0.6716091234612365,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.5,0.01,0.001,20.0,default_m0_3,gaussian_radial,4,59828976.03546062,14.934545083338561,34.67941705300961,1.4158413549337117,0.3178821331815358,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.5,0.01,0.001,20.0,d_optimal_4,gaussian_radial,4,124898704.04287992,19.393791131712437,29.713481321491816,1.090943671516064,0.19055531752116103,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.01,0.001,20.0,all_measurable,gaussian_radial,5,178732874.36697438,20.902421754267895,30.59912495384414,1.0120966427040297,0.1862106052839385,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.01,0.001,20.0,freq_only,pocket,3,2103.7040090852392,1.1087863672741558,37.30753560662487,19.073496215015936,3.8385831952806906,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.5,0.01,0.001,20.0,freq_plus_splitting,pocket,6,10014.264658299742,2.05375438245901,23.72534443474602,10.301343939898592,2.2386970782041216,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.5,0.01,0.003,20.0,default_m0_3,gaussian_radial,4,738629.3337711178,4.978181694446188,34.6794170530096,4.2475240648011345,0.9536463995446076,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
