arm,h_over_L,a_bar,coupling,shear_flex,convention,c_MM,c_QQ,c_MQ,ratio_f1,ratio_f2,ratio_f3
modeI,0.03333333333333333,0.1,0.0,False,tada,0.0032988563307898414,0.0,0.0,0.9963019513064717,0.9999673289421411,0.9989123025387577
modeI,0.03333333333333333,0.2,0.0,False,tada,0.012662071742748842,0.0,0.0,0.986025676611499,0.9998777349956119,0.9958996614220015
modeI,0.03333333333333333,0.3,0.0,False,tada,0.029223048510561348,0.0,0.0,0.9686003244896091,0.9997271774040933,0.9908276069776009
modeI,0.03333333333333333,0.4,0.0,False,tada,0.05696787774527589,0.0,0.0,0.941365095699116,0.9994963380545837,0.9830055293627661
modeI,0.03333333333333333,0.5,0.0,False,tada,0.1050425732435285,0.0,0.0,0.8991527737845385,0.9991493595002469,0.9711828329023336
modeI,0.03333333333333333,0.6,0.0,False,tada,0.1956563859746121,0.0,0.0,0.8329395052090791,0.9986322950719887,0.9535256546494254
modeI+II_c0,0.03333333333333333,0.1,0.0,True,tada,0.0032988563307898414,1.0269260828243896e-10,0.0,0.9963018205461613,0.9999630645111895,0.9989071391063656
modeI+II_c0,0.03333333333333333,0.2,0.0,True,tada,0.012662071742748842,4.141045726477385e-10,0.0,0.9860238996467836,0.9998598366172947,0.9958784496960141
modeI+II_c0,0.03333333333333333,0.3,0.0,True,tada,0.029223048510561348,9.469075493560902e-10,0.0,0.9685965627012646,0.9996864433038827,0.9907791406354863
modeI+II_c0,0.03333333333333333,0.4,0.0,True,tada,0.05696787774527589,1.7299052947785546e-09,0.0,0.9413587276629292,0.9994222632872641,0.9829170324247631
modeI+II_c0,0.03333333333333333,0.5,0.0,True,tada,0.1050425732435285,2.820725548847446e-09,0.0,0.8991437397168824,0.9990294626345578,0.9710388641723083
modeI+II_c0,0.03333333333333333,0.6,0.0,True,tada,0.1956563859746121,4.3325271535183115e-09,0.0,0.8329284661096112,0.9984501452917365,0.9533058411677026
modeI+II_c0.5,0.03333333333333333,0.1,0.5,True,tada,0.0032988563307898414,1.0269260828243896e-10,2.910189688653667e-07,0.9962612423952802,0.9999511029831196,0.9989825173153781
modeI+II_c0.5,0.03333333333333333,0.2,0.5,True,tada,0.012662071742748842,4.141045726477385e-10,1.144925959163519e-06,0.9858692197014105,0.9998138436205719,0.9961698490374346
modeI+II_c0.5,0.03333333333333333,0.3,0.5,True,tada,0.029223048510561348,9.469075493560902e-10,2.630186554688174e-06,0.9682597608838661,0.9995848684603311,0.9914282890204213
modeI+II_c0.5,0.03333333333333333,0.4,0.5,True,tada,0.05696787774527589,1.7299052947785546e-09,4.963593288733731e-06,0.9407753496579067,0.9992422534358327,0.9840815762346293
modeI+II_c0.5,0.03333333333333333,0.5,0.5,True,tada,0.1050425732435285,2.820725548847446e-09,8.606629277259187e-06,0.8982624905595858,0.9987472403260087,0.9728941609684406
modeI+II_c0.5,0.03333333333333333,0.6,0.5,True,tada,0.1956563859746121,4.3325271535183115e-09,1.4557529022762296e-05,0.8317438959079001,0.9980463578506159,0.9560130616947761
modeI+II_c0.9,0.03333333333333333,0.1,0.9,True,tada,0.0032988563307898414,1.0269260828243896e-10,5.2383414395766e-07,0.9962287917092522,0.9999415466369979,0.9990428345221855
modeI+II_c0.9,0.03333333333333333,0.2,0.9,True,tada,0.012662071742748842,4.141045726477385e-10,2.060866726494334e-06,0.9857454993002487,0.9997772360071706,0.9964031929025343
modeI+II_c0.9,0.03333333333333333,0.3,0.9,True,tada,0.029223048510561348,9.469075493560902e-10,4.734335798438713e-06,0.9679905070788961,0.9995045511947366,0.9919487766782462
modeI+II_c0.9,0.03333333333333333,0.4,0.9,True,tada,0.05696787774527589,1.7299052947785546e-09,8.934467919720716e-06,0.9403093417174755,0.9991013902577083,0.985017262521514
modeI+II_c0.9,0.03333333333333333,0.5,0.9,True,tada,0.1050425732435285,2.820725548847446e-09,1.5491932699066538e-05,0.8975591396447469,0.9985299733148132,0.9743898942842064
modeI+II_c0.9,0.03333333333333333,0.6,0.9,True,tada,0.1956563859746121,4.3325271535183115e-09,2.6203552240972135e-05,0.8307994828058313,0.9977438266959734,0.9582078730870339
modeI,0.1,0.1,0.0,False,tada,0.00012217986410332748,0.0,0.0,0.9891423050136926,0.9999420152573746,0.9969515154604834
modeI,0.1,0.2,0.0,False,tada,0.00046896562010180894,0.0,0.0,0.9601459938839498,0.9997896291946718,0.9888974245956739
modeI,0.1,0.3,0.0,False,tada,0.0010823351300207906,0.0,0.0,0.9145446381829597,0.9995573791124438,0.9765393340467068
modeI,0.1,0.4,0.0,False,tada,0.002109921397973181,0.0,0.0,0.8508155854937388,0.9992484095629239,0.9600469797821001
modeI,0.1,0.5,0.0,False,tada,0.003890465675686241,0.0,0.0,0.7661664332361825,0.9988672647108819,0.9398216519505352
modeI,0.1,0.6,0.0,False,tada,0.0072465328138745224,0.0,0.0,0.6578191572990105,0.9984304825143981,0.9170952656500131
modeI+II_c0,0.1,0.1,0.0,True,tada,0.00012217986410332748,3.4230869427479656e-11,0.0,0.989130651120629,0.9998327092371967,0.9968464282085929
modeI+II_c0,0.1,0.2,0.0,True,tada,0.00046896562010180894,1.3803485754924616e-10,0.0,0.9601030171094522,0.9993507687854374,0.9884734626481961
modeI+II_c0,0.1,0.3,0.0,True,tada,0.0010823351300207906,3.1563584978536346e-10,0.0,0.9144597189665914,0.9985605369477695,0.9755706424358159
modeI+II_c0,0.1,0.4,0.0,True,tada,0.002109921397973181,5.766350982595183e-10,0.0,0.8506906882127323,0.9974434470773297,0.9582835389638059
modeI+II_c0,0.1,0.5,0.0,True,tada,0.003890465675686241,9.402418496158156e-10,0.0,0.7660177595167922,0.9959564965960718,0.9369682661350031
modeI+II_c0,0.1,0.6,0.0,True,tada,0.0072465328138745224,1.4441757178394374e-09,0.0,0.6576746750787604,0.9940163644443994,0.9127664272284222
modeI,0.2,0.1,0.0,False,tada,1.5272483012915935e-05,0.0,0.0,0.9793297432826251,0.999995258935518,0.9948074329713853
modeI,0.2,0.2,0.0,False,tada,5.862070251272612e-05,0.0,0.0,0.9269645150925044,0.9999835821519937,0.9819294568704489
modeI,0.2,0.3,0.0,False,tada,0.00013529189125259882,0.0,0.0,0.8518230783098596,0.9999676872143906,0.9643294446082372
modeI,0.2,0.4,0.0,False,tada,0.00026374017474664765,0.0,0.0,0.7586341450481182,0.9999494493036494,0.944288694032574
modeI,0.2,0.5,0.0,False,tada,0.0004863082094607801,0.0,0.0,0.650864282537757,0.9999304838291784,0.9239484918642876
modeI,0.2,0.6,0.0,False,tada,0.0009058166017343153,0.0,0.0,0.5318419893559443,0.9999122532468615,0.905249192633179
