vane_width_mm,vane_width_over_h,depth_frac_requested,depth_frac_actual,kerf_width_requested_mm,kerf_width_actual_mm,f1_flap_Hz,f2_flap_Hz,f3_flap_Hz,ratio_f1,ratio_f2,ratio_f3,abs_shift_f2_pct,convention,c_MM_equivalent,a_bar_equivalent,a_bar_equiv_over_physical,c_MM_equivalent_dimarogonas,a_bar_equivalent_dimarogonas,a_bar_equiv_dim_over_physical,note,ndof
4.1000000000000005,4.1000000000000005,0.25,0.25,0.25,0.25,859.830800483265,5528.749755042185,11465.884247002643,0.969438813149394,0.9999221843425798,0.9875703428597906,0.007781565742015495,tada,0.028406662199661797,0.2961084122237242,1.1844336488948968,0.02840605979893689,0.32815152133827274,1.312606085353091,,122220
4.1000000000000005,4.1000000000000005,0.25,0.25,1.0,1.0,832.9353206488424,5530.277897669129,11243.701406189404,0.939114798197718,1.0001985621461018,0.968433468672625,0.019856214610181055,tada,0.05936189125915575,0.406582700118103,1.626330800472412,0.059366972805449204,0.4445391931687699,1.7781567726750795,,121500
4.1000000000000005,4.1000000000000005,0.5,0.5,0.25,0.25,769.0526993387258,5522.4879019775135,11236.73878791872,0.8670886593934976,0.9987896740876623,0.9678337700218579,0.12103259123377175,tada,0.14633475736557053,0.5541185684879594,1.1082371369759187,0.1463530852512697,0.5923474573198406,1.1846949146396812,,122040
4.1000000000000005,4.1000000000000005,0.5,0.5,1.0,1.0,684.3232709861879,5516.025734989315,10604.024825956665,0.7715582406009346,0.9976209353281384,0.9133373586778842,0.23790646718615527,tada,0.3012997472246594,0.6637987920062629,1.3275975840125258,0.30129879514788144,0.6984549335239213,1.3969098670478426,,120600
4.1000000000000005,4.1000000000000005,0.625,0.625,0.25,0.25,669.2115210724601,5515.055470409548,11090.141303976749,0.7545201013615158,0.99744545459181,0.9552071531504375,0.2554545408190001,tada,0.33528448125943305,0.678591057773959,1.0857456924383344,0.3352831466726886,0.7130398267330512,1.140863722772882,,121950
4.1000000000000005,4.1000000000000005,0.625,0.625,1.0,1.0,545.0204988647916,5495.55269576819,10009.582377152887,0.6144976724078842,0.9939182092137128,0.8621373185999438,0.6081790786287233,tada,0.7301648252885377,0.7725700880010367,1.2361121408016587,0.7301744391685075,0.81256167308096,1.300098676929536,,120150
2.0,2.0,0.25,0.25,0.25,0.25,856.2587644199623,5507.857195447582,15190.198570612158,0.969282497523265,1.0000130098584092,0.9928492816866058,0.0013009858409240849,tada,0.028558852568329133,0.29683975859967937,1.1873590343987175,0.028558241200272144,0.32893425992902975,1.315737039716119,,122220
2.0,2.0,0.25,0.25,1.0,1.0,829.1168837850005,5510.006654520965,15137.523635864809,0.9385579654746435,1.0004032681678143,0.9894063858690374,0.04032681678143302,tada,0.05995896337704668,0.40818821513176046,1.6327528605270418,0.059963779087744334,0.44619834093210986,1.7847933637284394,,121500
2.0,2.0,0.5,0.5,0.25,0.25,765.3349065209395,5502.735979640881,14781.642639931204,0.866356947758509,0.9990831959123928,0.9661455845348021,0.09168040876071926,tada,0.147330415736249,0.5552099857809759,1.1104199715619518,0.14734747625703135,0.5934058140432507,1.1868116280865013,,122040
2.0,2.0,0.5,0.5,1.0,1.0,679.641922583431,5497.698280228236,14596.895116401,0.7693527325112229,0.9981685453007967,0.9540702686541256,0.18314546992033165,tada,0.30557216800676007,0.6657720912247646,1.331544182449529,0.3055712043878468,0.7003916430389616,1.4007832860779232,,120600
2.0,2.0,0.625,0.625,0.25,0.25,665.8402031218225,5496.307470893989,14339.40800192835,0.7537292251490232,0.9979160283274755,0.9372406073788402,0.20839716725244983,tada,0.33691812494987544,0.679253518518419,1.0868056296294704,0.3369167897953106,0.7136969529370482,1.1419151246992771,,121950
2.0,2.0,0.625,0.625,1.0,1.0,540.7747884158304,5478.586980820359,14110.429454828869,0.6121555297228222,0.9946986753740721,0.9222742996671563,0.5301324625927917,tada,0.7391543937904899,0.7738502508075151,1.2381604012920242,0.7391622156077492,0.8140510979660313,1.30248175674565,,120150
